Project	Column	Card	CardURL	Type	Number	Labels	Repo	State	CreatedAt	UpdatedAt	ClosedAt	ClosedBy	Title	Size
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse-pm/issues/27	Issue	27	"[Label(name=""Feature: Performance & Stability""), Label(name=""Size: 33""), Label(name=""D: Dataset: large number of files"")]"	dataverse-pm	open	2020-04-10 08:52:30	2023-03-24 06:38:13			Performance: Slow response for the versions API call with large number of files or versions	33
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9272	Issue	9272	"[Label(name=""Size: 3""), Label(name=""D: Dataset: large number of files"")]"	dataverse	open	2023-01-10 19:16:18	2023-03-14 19:01:13			Spike: Datacite request to avoid creating unecessary file DOIs	3
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse.harvard.edu/issues/210	Issue	210	"[Label(name=""Size: 10"")]"	dataverse.harvard.edu	open	2023-01-26 18:53:07	2023-02-27 16:42:10			Add Badge for DataCite registration provider	10
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/2641	Issue	2641	"[Label(name=""Status: UX & UI""), Label(name=""Feature: File Upload & Handling""), Label(name=""Type: Bug""), Label(name=""Feature: Permissions""), Label(name=""User Role: Curator""), Label(name=""Size: 3""), Label(name=""D: Dataset: large number of files"")]"	dataverse	open	2015-10-14 15:40:41	2023-03-23 06:14:00			spike: reproduce - Permissions: Grant access errors for large # of files	3
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9356	Issue	9356	"[Label(name=""Size: 80""), Label(name=""D: FixRateLimitingBehaviors"")]"	dataverse	open	2023-02-01 23:30:22	2023-03-09 16:39:16			Add execution rate metering to the command engine	80
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/8256	Issue	8256	"[Label(name=""Size: 33""), Label(name=""D: Dataset: large number of files"")]"	dataverse	open	2021-11-23 19:34:35	2023-05-01 15:09:01			Investigate performance degradation in reindex of datasets with large numbers of files	33
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9463	Issue	9463	"[Label(name=""Size: 10""), Label(name=""D: ImproveJsonValidation"")]"	dataverse	open	2023-03-22 16:01:23	2023-03-29 19:43:32			Dataset Json Validation: Agree on general structure - create a schema that matches our dataset JSON	10
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9464	Issue	9464	"[Label(name=""Size: 10""), Label(name=""D: ImproveJsonValidation"")]"	dataverse	open	2023-03-22 16:04:47	2023-03-22 20:21:19			Dataset Json Validation: Update the code to use this schema	10
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9465	Issue	9465	"[Label(name=""Size: 10""), Label(name=""D: ImproveJsonValidation"")]"	dataverse	open	2023-03-22 16:06:37	2023-03-22 20:27:30			Dataset Json Validation: Create API endpoints to retrieve a JSON schema	10
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse-frontend/issues/26	Issue	26	"[Label(name=""Size: 33""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2"")]"	dataverse-frontend	open	2023-03-17 08:43:50	2023-04-10 15:55:20			Add Dataverse Frontend guides	33
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9340	Issue	9340	"[Label(name=""D: Payara 6 Upgrade""), Label(name=""Size: 33"")]"	dataverse	open	2023-01-27 17:07:14	2023-02-28 21:27:00			determine upgrade path from Payara 5 to 6	33
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/pull/9388	PullRequest	9388	"[Label(name=""DANS""), Label(name=""Size: 33"")]"	dataverse	open	2023-02-14 22:04:24	2023-04-24 18:20:23			IQSS/9387 - Support protected system metadata	33
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/pull/9454	PullRequest	9454	"[Label(name=""Size: 3""), Label(name=""Community"")]"	dataverse	open	2023-03-17 15:28:01	2023-05-26 20:47:27			External tools fix	3
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/pull/9545	PullRequest	9545	"[Label(name=""DANS""), Label(name=""Size: 10"")]"	dataverse	open	2023-04-20 18:19:26	2023-04-26 19:28:36			IQSS/9544 - Migrate API fixes	10
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9314	Issue	9314	"[Label(name=""Size: 3""), Label(name=""D: SonarQubeCleanup"")]"	dataverse	open	2023-01-23 19:45:13	2023-05-02 15:48:38			In JsonParser.java use try-with-resource for JsonReader jsonReader = Json.createReader(new StringReader(jsonString)); in method remapGeographicCoverage(...)	3
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9326	Issue	9326	"[Label(name=""Type: Bug""), Label(name=""Feature: Account & User Info""), Label(name=""Size: 3"")]"	dataverse	open	2023-01-25 17:14:42	2023-05-24 19:13:26			during password reset, users asked to accept term but there is no checkbox	3
IQSS/dataverse	▶ SPRINT READY		https://github.com/IQSS/dataverse/issues/9323	Issue	9323	"[Label(name=""D: Payara 6 Upgrade""), Label(name=""Size: 3"")]"	dataverse	open	2023-01-25 16:54:24	2023-05-24 19:39:52			Payara 6: Can't publish some datasets	3
IQSS/dataverse	This Sprint 🏃‍♀️ 🏃		https://github.com/IQSS/dataverse-frontend/issues/110	Issue	110	"[Label(name=""Size: 33""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2"")]"	dataverse-frontend	open	2023-05-24 17:49:34	2023-05-26 20:24:31			Prepare community day talk: Storybook and UI testing	33
IQSS/dataverse	This Sprint 🏃‍♀️ 🏃		https://github.com/IQSS/dataverse-frontend/issues/111	Issue	111	"[Label(name=""Size: 33""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2"")]"	dataverse-frontend	open	2023-05-24 17:50:57	2023-05-28 13:39:41			Prepare community day talk: Demo of the MVP for the new Dataverse Single Page Application	33
IQSS/dataverse	IQSS Team - In Progress  💻		https://github.com/IQSS/dataverse/issues/9626	Issue	9626	"[Label(name=""bklog: Deliverable""), Label(name=""Size: 10""), Label(name=""D: GDC: Interop With DV"")]"	dataverse	open	2023-05-26 18:09:14	2023-05-26 19:52:29			Add support issues at GDC website repo	10
IQSS/dataverse	IQSS Team - In Progress  💻		https://github.com/IQSS/dataverse/issues/9623	Issue	9623	"[Label(name=""bklog: Deliverable""), Label(name=""Size: 33""), Label(name=""D: GDC: Interop With DV"")]"	dataverse	open	2023-05-26 18:01:01	2023-05-26 18:32:10			Update GDC Custom UI For Harvard Dataverse Project	33
IQSS/dataverse	IQSS Team - In Progress  💻		https://github.com/IQSS/dataverse-frontend/issues/109	Issue	109	"[Label(name=""Size: 33""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2"")]"	dataverse-frontend	open	2023-05-24 17:46:32	2023-05-24 17:48:43			Prepare community day talk: Design and concepts around Dataverse SPA	33
IQSS/dataverse	IQSS Team - In Progress  💻		https://github.com/IQSS/dataverse.harvard.edu/issues/218	Issue	218	[]	dataverse.harvard.edu	open	2023-04-12 14:57:50	2023-05-15 14:28:41			Assist US Census with transferring a multi-TB data collection into production 	0
IQSS/dataverse	IQSS Team - In Progress  💻		https://github.com/IQSS/dataverse-frontend/issues/115	Issue	115	"[Label(name=""MVP Milestone 2""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2""), Label(name=""D: Dataset page (View Mode)"")]"	dataverse-frontend	open	2023-05-31 20:49:51	2023-06-02 14:25:02			Dataset summary, continued	0
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/pull/9629	PullRequest	9629	[]	dataverse	open	2023-05-30 18:47:03	2023-05-30 18:51:53			9338 Fixes Roles behavior in the UI and API	0
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/pull/9592	PullRequest	9592	[]	dataverse	open	2023-05-15 11:50:02	2023-06-01 11:56:17			Datasets API extension for the SPA	0
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/pull/9482	PullRequest	9482	"[Label(name=""QDR""), Label(name=""Size: 3"")]"	dataverse	open	2023-03-28 13:39:51	2023-04-27 17:14:24			IQSS/9431-support checksum alg in direct uploads	3
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/issues/9416	Issue	9416	"[Label(name=""pm.netcdf-hdf5.d""), Label(name=""Size: 3"")]"	dataverse	open	2023-03-01 20:40:39	2023-05-17 18:53:09			 NcML previewer doesn't work with drafts	3
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/pull/9600	PullRequest	9600	[]	dataverse	open	2023-05-19 13:45:25	2023-05-19 13:52:58			add H5Web to guides	0
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/issues/9517	Issue	9517	"[Label(name=""NIH OTA: 1.7.1 (reArchitecture)""), Label(name=""Size: 10"")]"	dataverse	open	2023-04-12 17:05:35	2023-05-23 12:54:36			Refine the Authentication document and make it public	10
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse/pull/9611	PullRequest	9611	[]	dataverse	open	2023-05-23 21:18:40	2023-05-26 15:36:39			fix S3 direct upload NPE and NetCDF/HDF5 and keep geospatial metadata extraction	0
IQSS/dataverse	Ready for Review ⏩		https://github.com/IQSS/dataverse-frontend/issues/107	Issue	107	"[Label(name=""Size: 10""), Label(name=""MVP Milestone 2""), Label(name=""pm.GREI-d-1.7.1""), Label(name=""pm.GREI-d-1.7.2""), Label(name=""D: Dataset page (View Mode)"")]"	dataverse-frontend	open	2023-05-24 15:45:19	2023-06-02 13:48:41			[Spike - Frontend] [0/2] Create the File Tab of the Dataset - Analysis	10
IQSS/dataverse	In Review 🔎		https://github.com/IQSS/dataverse/pull/9614	PullRequest	9614	[]	dataverse	open	2023-05-24 14:53:47	2023-05-31 21:07:15			8889 file-level PIDs configuration in individual collections	0
IQSS/dataverse	In Review 🔎		https://github.com/IQSS/dataverse-frontend/issues/108	Issue	108	"[Label(name=""Size: 10""), Label(name=""pm.GREI-d-2.7.1""), Label(name=""pm.GREI-d-2.7.2"")]"	dataverse-frontend	open	2023-05-24 15:52:58	2023-05-30 15:52:44			Review architecture related content in the SPA Strategy document and move it to the Architecture document if necessary	10
